590697.8679692007,6136794.091058985,19.915,32,N,U
590697.8398751807,6136794.224066113,19.902,32,N,U
590697.8113236951,6136794.3793279445,19.902,32,N,U
590697.7956755515,6136794.523722963,19.928,32,N,U
590697.7865934455,6136794.657120903,19.939,32,N,U
590697.7838486426,6136794.790649111,19.929,32,N,U
590697.7874411425,6136794.924307587,19.909,32,N,U
590697.7842388722,6136795.080090498,19.915,32,N,U
590697.7873739045,6136795.236003676,19.932,32,N,U
590697.7907376694,6136795.380789505,19.944,32,N,U
590697.7816555641,6136795.514187446,19.946,32,N,U
590697.772344725,6136795.6587127345,19.93,32,N,U
590697.7691424546,6136795.814495644,19.928,32,N,U
590697.7598316163,6136795.959020933,19.956,32,N,U
590697.7568580796,6136796.1036764905,19.968,32,N,U
590697.75434201,6136796.226077349,19.958,32,N,U
590697.7262480038,6136796.3590844795,19.937,32,N,U
590697.704262566,6136796.503349231,19.932,32,N,U
590697.6759398294,6136796.647483713,19.944,32,N,U
590697.6476170942,6136796.791618195,19.96,32,N,U
590697.6197518274,6136796.913497975,19.964,32,N,U
590697.5853205288,6136797.046374839,19.949,32,N,U
590697.5508892322,6136797.179251701,19.938,32,N,U
590697.528903803,6136797.323516453,19.957,32,N,U
590697.5132556742,6136797.4679114735,19.97,32,N,U
590697.5107396101,6136797.590312332,19.962,32,N,U
590697.5021149804,6136797.701455571,19.94,32,N,U
590697.4930328848,6136797.8348535085,19.925,32,N,U
590697.4839507896,6136797.968251448,19.926,32,N,U
590697.4746399616,6136798.112776739,19.95,32,N,U
590697.4594493019,6136798.234917059,19.959,32,N,U
590697.4379213454,6136798.356927111,19.945,32,N,U
590697.409827359,6136798.489934244,19.927,32,N,U
590697.3751673439,6136798.633938458,19.931,32,N,U
590697.3658565198,6136798.778463748,19.939,32,N,U
590697.3570031618,6136798.900734338,19.938,32,N,U
590697.3544871008,6136799.023135196,19.931,32,N,U
590697.3519710399,6136799.145536055,19.919,32,N,U
590697.3553348097,6136799.290321884,19.916,32,N,U
590697.3586985791,6136799.435107712,19.938,32,N,U
590697.3369418966,6136799.568245115,19.95,32,N,U
590697.3151852152,6136799.701382516,19.95,32,N,U
590697.2807539434,6136799.8342593815,19.937,32,N,U
590697.2522025036,6136799.989521218,19.942,32,N,U
590697.2494577122,6136800.123049428,19.959,32,N,U
590697.2469416531,6136800.245450286,19.973,32,N,U
590697.2444255941,6136800.367851143,19.977,32,N,U
590697.2355722403,6136800.490121733,19.964,32,N,U
590697.2391647435,6136800.623780211,19.965,32,N,U
590697.236191219,6136800.7684357725,19.995,32,N,U
590697.2334464273,6136800.901963981,20.024,32,N,U
590697.2245930741,6136801.024234569,20.041,32,N,U
590697.2347516029,6136801.1468959665,20.04,32,N,U
590697.2322355432,6136801.269296825,20.039,32,N,U
590697.2358280446,6136801.402955304,20.055,32,N,U
590697.2330832522,6136801.536483513,20.086,32,N,U
590697.2240011666,6136801.669881454,20.099,32,N,U
590697.2151478144,6136801.792152044,20.089,32,N,U
590697.2058369968,6136801.936677335,20.076,32,N,U
590697.2028634722,6136802.081332895,20.094,32,N,U
590697.1935526553,6136802.225858186,20.133,32,N,U
590697.1844705712,6136802.359256128,20.159,32,N,U
590697.1753884876,6136802.492654068,20.166,32,N,U
590697.1726436961,6136802.6261822805,20.155,32,N,U
590697.1696701718,6136802.770837839,20.164,32,N,U
590697.1666966478,6136802.9154934,20.201,32,N,U
590697.1576145649,6136803.04889134,20.218,32,N,U
590697.1550985059,6136803.1712922,20.207,32,N,U
590697.139679133,6136803.304559871,20.185,32,N,U
590697.1367056092,6136803.449215434,20.189,32,N,U
590697.1400693755,6136803.5940012615,20.211,32,N,U
590697.1373245841,6136803.727529472,20.228,32,N,U
590697.1221339453,6136803.849669795,20.234,32,N,U
590697.1067145745,6136803.982937465,20.221,32,N,U
590697.091066472,6136804.12733249,20.215,32,N,U
590697.0751896377,6136804.282854863,20.241,32,N,U
590697.0724448476,6136804.416383075,20.258,32,N,U
